5;Alajärvi;Alajärvi;Alajärvi;14;Etelä-Pohjanmaa;Södra Österbotten;South Ostrobothnia;4;Länsi- ja Sisä-Suomen AVI;Västra och Inre Finlands RFV;Western and Inland Finland AVI;11;Etelä-Pohjanmaan ELY-keskus;NTM-centralen i Södra Österbotten;South Ostrobothnia ELY Centre;146;Järviseutu;Järviseutu;Järviseutu;3;Länsi-Suomi;Västra Finland;Western Finland;2;Taajaan asutut kunnat;Tätortskommuner;Semi-urban municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
9;Alavieska;Alavieska;Alavieska;17;Pohjois-Pohjanmaa;Norra Österbotten;North Ostrobothnia;5;Pohjois-Suomen AVI;Norra Finlands RFV;Northern Finland AVI;13;Pohjois-Pohjanmaan ELY-keskus;NTM-centralen i Norra Österbotten;North Ostrobothnia ELY Centre;177;Ylivieska;Ylivieska;Ylivieska;4;Pohjois- ja Itä-Suomi;Norra och Östra Finland;Northern and Eastern Finland;3;Maaseutumaiset kunnat;Landsbygdskommuner;Rural municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
10;Alavus;Alavo;Alavus;14;Etelä-Pohjanmaa;Södra Österbotten;South Ostrobothnia;4;Länsi- ja Sisä-Suomen AVI;Västra och Inre Finlands RFV;Western and Inland Finland AVI;11;Etelä-Pohjanmaan ELY-keskus;NTM-centralen i Södra Österbotten;South Ostrobothnia ELY Centre;144;Kuusiokunnat;Kuusiokunnat;Kuusiokunnat;3;Länsi-Suomi;Västra Finland;Western Finland;2;Taajaan asutut kunnat;Tätortskommuner;Semi-urban municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
16;Asikkala;Asikkala;Asikkala;7;Päijät-Häme;Päijänne-Tavastland;Päijät-Häme;1;Etelä-Suomen AVI;Södra Finlands RFV;Southern Finland AVI;4;Hämeen ELY-keskus;NTM-centralen i Tavastland;Häme ELY Centre;71;Lahti;Lahtis;Lahti;2;Etelä-Suomi;Södra Finland;Southern Finland;2;Taajaan asutut kunnat;Tätortskommuner;Semi-urban municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
18;Askola;Askola;Askola;1;Uusimaa;Nyland;Uusimaa;1;Etelä-Suomen AVI;Södra Finlands RFV;Southern Finland AVI;1;Uudenmaan ELY-keskus;NTM-centralen i Nyland;Uusimaa ELY Centre;15;Porvoo;Borgå;Porvoo;1;Helsinki-Uusimaa;Helsingfors - Nyland;Helsinki-Uusimaa;3;Maaseutumaiset kunnat;Landsbygdskommuner;Rural municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
19;Aura;Aura;Aura;2;Varsinais-Suomi;Egentliga Finland;Southwest Finland;2;Lounais-Suomen AVI;Sydvästra Finlands RFV;Southwestern Finland AVI;2;Varsinais-Suomen ELY-keskus;NTM-centralen i Egentliga Finland;Southwest Finland ELY Centre;25;Loimaa;Loimaa;Loimaa;2;Etelä-Suomi;Södra Finland;Southern Finland;3;Maaseutumaiset kunnat;Landsbygdskommuner;Rural municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
20;Akaa;Ackas;Akaa;6;Pirkanmaa;Birkaland;Pirkanmaa;4;Länsi- ja Sisä-Suomen AVI;Västra och Inre Finlands RFV;Western and Inland Finland AVI;5;Pirkanmaan ELY-keskus;NTM-centralen i Birkaland;Pirkanmaa ELY Centre;63;Etelä-Pirkanmaa;Södra Birkaland;Etelä-Pirkanmaa;3;Länsi-Suomi;Västra Finland;Western Finland;2;Taajaan asutut kunnat;Tätortskommuner;Semi-urban municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
35;Brändö;Brändö;Brändö;21;Ahvenanmaa ;Åland;Åland;7;Ahvenanmaan valtionvirasto;Statens ämbetsverk på Åland;State Department of Åland;16;Ahvenanmaa;Åland;Åland;213;Ålands skärgård;Ålands skärgård;Ålands skärgård;5;Ahvenanmaa - Åland;Åland;Åland;3;Maaseutumaiset kunnat;Landsbygdskommuner;Rural municipalities;2;Yksikielinen ruotsinkielinen kunta;Enspråkig svensk kommun;Monolingual Swedish-speaking municipality
43;Eckerö;Eckerö;Eckerö;21;Ahvenanmaa ;Åland;Åland;7;Ahvenanmaan valtionvirasto;Statens ämbetsverk på Åland;State Department of Åland;16;Ahvenanmaa;Åland;Åland;212;Ålands landsbygd;Ålands landsbygd;Ålands landsbygd;5;Ahvenanmaa - Åland;Åland;Åland;3;Maaseutumaiset kunnat;Landsbygdskommuner;Rural municipalities;2;Yksikielinen ruotsinkielinen kunta;Enspråkig svensk kommun;Monolingual Swedish-speaking municipality
46;Enonkoski;Enonkoski;Enonkoski;10;Etelä-Savo;Södra Savolax;South Savo;3;Itä-Suomen AVI;Östra Finlands RFV;Eastern Finland AVI;7;Etelä-Savon ELY-keskus;NTM-centralen i Södra Savolax;South Savo ELY Centre;103;Savonlinna;Nyslott;Savonlinna;4;Pohjois- ja Itä-Suomi;Norra och Östra Finland;Northern and Eastern Finland;3;Maaseutumaiset kunnat;Landsbygdskommuner;Rural municipalities;0;Yksikielinen suomenkielinen kunta;Enspråkig finsk kommun;Monolingual Finnish-speaking municipality
